Channel,train_loss_1,valid_loss_1,train_loss_2,valid_loss_2,train_loss_3,valid_loss_3,train_loss_4,valid_loss_4,train_loss_5,valid_loss_5,Train AVG,Valid AVG,Train STD,Valid STD
F-1,0.0304313637316226,0.0448274947702884,0.0265832245349884,0.0271068383008241,0.0223774816840887,0.036980103701353,0.0352883748710155,0.059204626828432,0.0272198896855115,0.0605568252503871,0.028380066901445337,0.045735177770256916,0.004302051153620024,0.01284988353040507
P-4,0.0001681610447121,1.2291617167647928e-05,0.0001679231936577,6.14825876255054e-06,0.0001454177108826,2.2932742638204218e-07,0.0002568334457464,0.3478025496006012,0.0001526847772765,0.0086668031290173,0.00017820403445505998,0.07129760438659502,4.028726138829519e-05,0.1382931561703299
G-3,4.740926306112669e-05,0.0001771113165887,2.637176112330053e-05,0.0598171278834342,5.021413744543679e-05,8.919453102862462e-05,1.0175932402489709e-05,1.367425011267187e-05,0.0376095883548259,0.0008708699606359,0.00754875188977165,0.012193595588360018,0.015030425335764845,0.023813726490900328
T-1,0.0140559561550617,0.0215507969260215,0.0228198152035474,0.0175423491746187,0.0143972495570778,0.0079900361597538,0.0208821594715118,0.0106115415692329,0.015137574635446,0.0209622755646705,0.017458551004528942,0.015731399878859482,0.003655144273883116,0.0054890553126540065
T-2,0.0428620092570781,0.1178331524133682,0.018083356320858,0.0077028372325003,0.0114423781633377,0.0157477483153343,0.0069449637085199,0.0330232121050357,0.0102573353797197,0.0140920616686344,0.017918008565902678,0.03767980234697458,0.01298659252136364,0.040944494871415826
D-8,7.688053041139242e-15,0.0559157058596611,8.988892659544945e-06,2.330586852394845e-07,3.0877980294191653e-13,1.5586724890371414e-13,1.4463793999845188e-14,1.091006150981573e-13,3.3941107631108025e-06,6.942895680595029e-08,2.47660075071748e-06,0.011183201669513624,3.5114789683212903e-06,0.02236625209523587
D-9,2.1142607664614843e-08,4.888559557159056e-10,7.265824747415549e-11,3.5908241983149973e-13,0.0001494515308877,2.9447073757182807e-06,6.2640716486756735e-15,1.7246873539988883e-05,1.8445631510383663e-14,1.7902716809015118e-10,2.9894549235664357e-05,4.0384498315826775e-06,5.9778491385571924e-05,6.7019484255395235e-06
F-2,0.0187953673303127,0.0203397590667009,0.0195260234177112,0.0668329000473022,0.0309071280062198,0.0257012993097305,0.0205746479332447,0.023078478872776,0.0260425377637147,0.033561710268259,0.023169140890240626,0.03390282951295372,0.004631769596506838,0.017046374700341316
G-4,0.0001468936243327,0.000102836813312,0.000110349865281,9.494563710177316e-05,0.0001163804408861,4.388596789794974e-05,8.264220377895981e-05,5.16119398525916e-05,0.0001270736102014,0.0001543172547826,0.00011666794889603197,8.95195225893829e-05,2.1069510744196703e-05,3.9811920805203207e-05
T-3,0.0002757821057457,0.013185997493565,9.444139141123742e-05,0.0001260698336409,8.323229849338531e-05,6.350542389554903e-05,0.0003669573634397,0.0002802145318128,0.000133064459078,0.0001455267338315,0.00019069552363360455,0.0027602628033491497,0.00011175196191260238,0.005213346352170648
D-11,0.0002289781405124,0.0006432484951801,0.0001373467821395,3.611036618167418e-06,0.0082295602187514,0.0006976247532293,0.0003918465226888,0.000817222346086,0.0019485998200252,0.0001673994847806,0.0021872662968234597,0.00046582122317883354,0.0030927939540583258,0.0003198092722493067
D-12,4.663158422769931e-13,1.7389348424753925e-12,1.571298565436821e-13,4.0741729109318453e-13,1.7499336127293354e-13,4.620106922904876e-13,1.4216404475072416e-13,2.094521930028071e-13,3.150812672835651e-13,2.635324142068185e-13,2.511368744255796e-13,6.16269486613738e-13,1.240170191523693e-13,5.688086267072469e-13
B-1,1.422867120621455e-14,9.372059741772841e-14,1.0887052894759108e-06,4.6436401390792525e-09,9.257185240585389e-08,1.3808332255393907e-10,8.615082333562896e-05,2.147756504200516e-06,1.0565450220983463e-14,8.56914433616969e-14,1.746642010046097e-05,4.3050768141483805e-07,3.434466204385481e-05,8.58626259208334e-07
G-6,1.2367182478101313e-07,1.0122288784941702e-08,5.496745103528156e-08,1.2145336958369055e-09,2.337093746973551e-06,1.4014933924499928e-07,1.004394123427232e-09,4.938561781742121e-10,6.179259326444253e-09,3.079104317293968e-06,5.045833352479434e-07,6.46216867039584e-07,9.17315736708418e-07,1.2175917392585377e-06
G-7,0.0099294874817132,0.0401941090822219,0.0272659081965684,0.0007205011788755,0.0322048254311084,0.001190583105199,0.0555721148848533,0.0019668044988065,0.0378736518323421,0.0392336398363113,0.03256919756531708,0.016661127540282837,0.014819484188937786,0.018829147485570137
P-7,0.0082841673865914,0.0202941969037055,0.0023820661008358,0.0157156288623809,0.0037670000456273,0.0191503036767244,0.0040912199765443,0.0142022352665662,0.007046699989587,0.0134569043293595,0.00511423069983716,0.0165638538077473,0.002195870712291954,0.0027038877673284094
R-1,2.4303428602934225e-08,0.0009401161805726,1.846920104917396e-14,9.370964019952273e-14,1.5182512242972734e-06,3.284804250824892e-08,1.843713835114613e-05,3.914882711342216e-07,4.433580215845723e-06,1.288868674009791e-07,4.882654647672252e-06,0.00018813388076947062,6.966904614018866e-06,0.00037599117501914626
A-5,1.1132330612895203e-09,0.4499257504940033,6.273581675486639e-05,1.988634903682396e-05,1.093980350752588e-09,3.696883504744619e-05,7.96905084143873e-08,8.900920001053692e-09,1.347060907264108e-09,3.2197540189571323e-09,1.2563812307520017e-05,0.08999652355975232,2.508602064989584e-05,0.179964613997057
A-6,0.0010829012608155,0.0001470771385356,0.0004350464441813,6.918182771187276e-05,0.0005549846682697,0.0001012138382066,0.0005574938259087,7.548717258032411e-05,0.0012068932410329,0.000307585025439,0.00076746388804162,0.00014010900049467935,0.00031379454909938694,8.810930939495408e-05
A-7,0.0381685942411422,0.0637895688414573,0.0233350973576307,0.0494604967534542,0.0298432279378175,0.0325106233358383,0.0332625061273574,0.0686624273657798,0.0210676230490207,0.1235398948192596,0.0291354097425937,0.06759260222315784,0.006290709963868706,0.030676458821013643
D-13,2.9306184622058743e-14,1.2718716054307968e-13,1.660153575212559e-14,6.193563186190215e-14,3.2618351108234384e-14,1.1179205889992605e-13,3.3661956685623884e-14,5.0566955543630485e-14,3.43576993841032e-14,6.07513984864777e-14,2.930914551042916e-14,8.24466410670032e-14,6.585879706873285e-15,3.088872619285791e-14
